,0,1,vars,t
0,0.0,0.016484141575107768,0,247
1,6.453012620627536e-05,0.0,1,247
0,0.0,0.01652771618421071,0,248
1,6.489555998509113e-05,0.0,1,248
0,0.0,0.016530400280269114,0,249
1,6.4925942509539e-05,0.0,1,249
0,0.0,0.016530400280269114,0,250
1,6.4925942509539e-05,0.0,1,250
0,0.0,0.016530400280269114,0,251
1,6.4925942509539e-05,0.0,1,251
0,0.0,-2.1082017397853825,0,252
1,0.9689314408239725,0.0,1,252
0,0.0,-0.33988012363823916,0,253
1,0.027399523343906527,0.0,1,253
0,0.0,-0.04762784854714425,0,254
1,0.0005390662467661785,0.0,1,254
0,0.0,0.0051160773554064,0,255
1,6.219344021868474e-06,0.0,1,255
0,0.0,0.013189968395983152,0,256
1,4.133756083155825e-05,0.0,1,256
0,0.0,0.013244235378384813,0,257
1,4.167830712495391e-05,0.0,1,257
0,0.0,0.013461305085919124,0,258
1,4.305528154182084e-05,0.0,1,258
0,0.0,0.013737517034549668,0,259
1,4.4839757306821076e-05,0.0,1,259
0,0.0,0.0,0,260
1,0.0,0.0,1,260
0,0.0,0.01252108410053557,0,261
1,3.724963222882939e-05,0.0,1,261
0,0.0,0.012604746439030394,0,262
1,3.774903160958647e-05,0.0,1,262
0,0.0,0.012608824380507443,0,263
1,3.77733554117423e-05,0.0,1,263
0,0.0,0.012608824380507443,0,264
1,3.77733554117423e-05,0.0,1,264
0,0.0,0.016530400280269114,0,265
1,6.4925942509539e-05,0.0,1,265
0,0.0,-4.1998795371917765,0,266
1,3.2735113575195216,0.0,1,266
0,0.0,-0.6527513495468487,0,267
1,0.10036335233481969,0.0,1,267
0,0.0,-0.10032228975833984,0,268
1,0.002391567459247873,0.0,1,268
0,0.0,-0.00811318352484618,0,269
1,1.56410821904458e-05,0.0,1,269
0,0.0,-0.0008523727780451886,0,270
1,1.726384312289965e-07,0.0,1,270
0,0.0,0.006821134937597332,0,271
1,1.1055474970988247e-05,0.0,1,271
0,0.0,0.00950041167937561,0,272
1,2.1445698795503435e-05,0.0,1,272
0,0.0,0.007970819550621821,0,273
1,1.50961545709693e-05,0.0,1,273
0,0.0,0.008012013533638394,0,274
1,1.5252539674067393e-05,0.0,1,274
0,0.0,0.008176791455090324,0,275
1,1.588614052816641e-05,0.0,1,275
0,0.0,0.006087058675481478,0,276
