,0,1,2,vars,t
1,0.006978826720858212,0.0,0.055494532662963,1,212
2,0.0034410371966154896,0.02519759426570851,0.0,2,212
0,0.0,0.06037911364374403,0.11098130988080077,0,213
1,0.00684882896587735,0.0,0.05668491364491674,1,213
2,0.003283473403054699,0.02463754369984764,0.0,2,213
0,0.0,0.0585897455771188,0.11197523319377987,0,214
1,0.006712093950339107,0.0,0.058131004362798354,1,214
2,0.0031831969986718263,0.02404826058111955,0.0,2,214
0,0.0,0.0567644390332686,0.11313802074977033,0,215
1,0.006549040082715292,0.0,0.05982700102947413,1,215
2,0.0032110593954713805,0.023246789392161453,0.0,2,215
0,0.0,0.05486293030963195,0.11422455581703221,0,216
1,0.006491967186147396,0.0,0.060845709429528154,1,216
2,0.0036011549214141902,0.02273244575434232,0.0,2,216
0,0.0,0.06318644262855774,0.11355028458420023,0,217
1,0.006451164822193637,0.0,0.058350356549992516,1,217
2,0.004084256565694903,0.021134489478143975,0.0,2,217
0,0.0,0.058917048078408314,0.11384226011137462,0,218
1,0.006659132165679989,0.0,0.05800651102557928,1,218
2,0.004657297255975328,0.022277870266343397,0.0,2,218
0,0.0,0.05712732660903206,0.11466463138911402,0,219
1,0.00672583778154183,0.0,0.057502546501275245,1,219
2,0.004648724937378175,0.02232490179778929,0.0,2,219
0,0.0,0.053758481561160906,0.11639748694916441,0,220
1,0.006858944780609804,0.0,0.05614234786643638,1,220
2,0.004692680539259118,0.022095894617996586,0.0,2,220
0,0.0,0.0529674356702999,0.11690377143758442,0,221
1,0.0069275449425716,0.0,0.05625242900685931,1,221
2,0.004734285468144185,0.02195749036073833,0.0,2,221
0,0.0,0.05145194079153531,0.11679280610359288,0,222
1,0.006814941519465303,0.0,0.05769034259581566,1,222
2,0.004838928044547969,0.021144150220646935,0.0,2,222
0,0.0,0.05580693121177109,0.11789883938956025,0,223
1,0.00693757028499829,0.0,0.05964439702886927,1,223
2,0.004862522026221487,0.021412244301284772,0.0,2,223
0,0.0,0.053225451339970115,0.11724246281057622,0,224
1,0.006864157869889259,0.0,0.05847963202531754,1,224
2,0.004848539161436146,0.021252282125524408,0.0,2,224
0,0.0,0.053172653301167314,0.11684290227898357,0,225
1,0.006794106206468675,0.0,0.0589144419156466,1,225
2,0.004841667734619953,0.02108743197284796,0.0,2,225
0,0.0,0.05326076918215856,0.11659429088071364,0,226
1,0.006769768183796648,0.0,0.059074736426442405,1,226
2,0.004841960333095354,0.021083780949971945,0.0,2,226
0,0.0,0.053290368907310974,0.11657258647696093,0,227
1,0.006769157782117202,0.0,0.05907294599104924,1,227
2,0.004840696529797772,0.021087045316548432,0.0,2,227
0,0.0,0.053300799223493636,0.11656788537511086,0,228
1,0.006769263117327895,0.0,0.05907003821941366,1,228
2,0.004840898549856288,0.02108778751480008,0.0,2,228
0,0.0,0.053300799223493636,0.11656788537511086,0,229
1,0.006769263117327895,0.0,0.05907003821941366,1,229
2,0.004840898549856288,0.02108778751480008,0.0,2,229
0,0.0,0.053300799223493636,0.11656788537511086,0,230
1,0.006769263117327895,0.0,0.05907003821941366,1,230
2,0.004840898549856288,0.02108778751480008,0.0,2,230
0,0.0,-1.5555890327614073,-0.44008533955724566,0,231
1,0.5234676220390921,0.0,-0.14537285977228362,1,231
2,0.31965955392790607,0.8012797987498884,0.0,2,231
0,0.0,-0.06292787125987621,0.03512880584535225,0,232
1,0.0011337590219209419,0.0,0.030089540022063918,1,232
2,0.000482881607366325,0.003157135246337455,0.0,2,232
0,0.0,0.022741165345868338,0.09443883209278435,0,233
1,0.0043234284925501645,0.0,0.051202163673993814,1,233
2,0.0032556218146239492,0.014696298857719121,0.0,2,233
0,0.0,0.046716850349351004,0.09111513024188449,0,234
1,0.0042396587802875025,0.0,0.049572556167818096,1,234
2,0.003016620734517474,0.013662834833881806,0.0,2,234
0,0.0,0.04461982705553079,0.09163196149132442,0,235
1,0.004252280431392133,0.0,0.04937837239995977,1,235
2,0.0030402753160546493,0.013698064289506014,0.0,2,235
0,0.0,0.03615579262114239,0.09375557893380944,0,236
1,0.004321147014018856,0.0,0.04759964604528996,1,236
2,0.003147261934161791,0.013713322695779871,0.0,2,236
0,0.0,0.030772508409030924,0.09320525337583796,0,237
1,0.00420889948480616,0.0,0.04655131575593592,1,237
2,0.003089478879674051,0.01335456344600469,0.0,2,237
0,0.0,0.01826968761328656,0.09205883254792006,0,238
1,0.003972807485227379,0.0,0.04223871452902818,1,238
2,0.0029422416008479065,0.012220698673252012,0.0,2,238
0,0.0,0.023543410745397026,0.0923706218937502,0,239
1,0.004027141042421074,0.0,0.042823598710994865,1,239
2,0.0029602341171697417,0.012360972104414943,0.0,2,239
0,0.0,0.038707882757953185,0.09210807837019291,0,240
1,0.004118252352326226,0.0,0.04406783392339976,1,240
2,0.0029291305051007445,0.012443493943919637,0.0,2,240
0,0.0,0.03932398017053582,0.09157815619441524,0,241
1,0.004074406606957427,0.0,0.044070314618861406,1,241
2,0.002888460699202909,0.012314732357881575,0.0,2,241
0,0.0,0.040078947030732504,0.08966945303715504,0,242
1,0.0038949812217365857,0.0,0.0446751409660208,1,242
2,0.002731305219735875,0.011900339139514533,0.0,2,242
0,0.0,0.03966810036067932,0.08843110356616628,0,243
1,0.003754141615678467,0.0,0.045901986117351835,1,243
2,0.002607668244594688,0.011676721717157501,0.0,2,243
0,0.0,0.03812928424356959,0.08751949389218812,0,244
1,0.0035873548864187575,0.0,0.04832578639820529,1,244
2,0.002448470434885567,0.011489924359719052,0.0,2,244
0,0.0,0.03543877658380398,0.08767923940887809,0,245
1,0.0034332061753332087,0.0,0.05088225039984857,1,245
2,0.002273509137559796,0.0112074672035209,0.0,2,245
0,0.0,0.03131011055235387,0.08986332784022016,0,246
1,0.0032854268940013557,0.0,0.05271483288923347,1,246
2,0.0020451748760555877,0.010495879866421365,0.0,2,246
0,0.0,0.03060016953332746,0.09507938682660262,0,247
1,0.0034413172863555497,0.0,0.05140923383452166,1,247
2,0.0020279973557612617,0.010142213620646361,0.0,2,247
0,0.0,0.028914178919950483,0.09704409499855254,0,248
1,0.003545485992146462,0.0,0.04922866286552524,1,248
2,0.0020799347425615572,0.010062819924184717,0.0,2,248
0,0.0,0.029361088353228912,0.09725354934246958,0,249
1,0.003585165278751743,0.0,0.048839632306535145,1,249
2,0.0021091852116673967,0.010130820478829378,0.0,2,249
0,0.0,0.029635527811700094,0.09724056284372534,0,250
1,0.0036030889085779095,0.0,0.04857263518873023,1,250
2,0.002120435725546163,0.010151631393547095,0.0,2,250
0,0.0,0.029711904966689993,0.09715899034312059,0,251
1,0.0036199534153200184,0.0,0.048392107305101434,1,251
2,0.0021215647032359324,0.010161763948556956,0.0,2,251
0,0.0,0.03003549975875262,0.09712373402033518,0,252
1,0.003616185920134517,0.0,0.04863929719347571,1,252
2,0.0020966604247334795,0.010120017445829656,0.0,2,252
0,0.0,0.02821010559419943,0.09700838254013212,0,253
1,0.0035927397373184244,0.0,0.048986776056532046,1,253
2,0.002081024143677937,0.010111381358798886,0.0,2,253
0,0.0,0.02908259191898553,0.09706123350370627,0,254
1,0.003594133616395847,0.0,0.04898045125953525,1,254
2,0.002077607298040504,0.010092136295635289,0.0,2,254
0,0.0,0.029092413490998177,0.0970557832055926,0,255
1,0.0035910767813124287,0.0,0.049014460969141374,1,255
2,0.002075220834596954,0.010085610729576672,0.0,2,255
0,0.0,0.029071747205753715,0.09704064871308449,0,256
1,0.00358869647179037,0.0,0.049025005336137906,1,256
2,0.0020739425233724973,0.010079920363173206,0.0,2,256
0,0.0,0.028980428105844818,0.09697602457028588,0,257
1,0.0035788858638380852,0.0,0.04907058785295632,1,257
2,0.0020706201400185554,0.010055484919776547,0.0,2,257
0,0.0,0.028882580162338068,0.096915256264837,0,258
1,0.0035696988106534103,0.0,0.04912099466906539,1,258
2,0.0020714432702871204,0.010029743203125292,0.0,2,258
0,0.0,0.028740959559585985,0.09685523441913961,0,259
1,0.0035602832472834186,0.0,0.04917647637890731,1,259
2,0.002083895844006497,0.009992712755047952,0.0,2,259
0,0.0,0.028676442543501948,0.09684856130011195,0,260
1,0.0035617706850080318,0.0,0.04917882397194862,1,260
