,0,1,vars,t
0,0.0,0.024517421371413748,0,258
1,4.464060751924285e-05,0.0,1,258
0,0.0,0.024369920518020085,0,259
1,4.410496490185657e-05,0.0,1,259
0,0.0,0.02437541757284651,0,260
1,4.412475432293296e-05,0.0,1,260
0,0.0,0.02442443369004149,0,261
1,4.430026839149869e-05,0.0,1,261
0,0.0,0.02447712777152497,0,262
1,4.448694452094505e-05,0.0,1,262
0,0.0,0.02457018167509159,0,263
1,4.481060807503881e-05,0.0,1,263
0,0.0,0.02468233138590223,0,264
1,4.518493209157689e-05,0.0,1,264
0,0.0,0.024771223053840417,0,265
1,4.543752808483231e-05,0.0,1,265
0,0.0,0.02472204422268185,0,266
1,4.5162861558753755e-05,0.0,1,266
0,0.0,0.02454223841164792,0,267
1,4.445661282565714e-05,0.0,1,267
0,0.0,0.024426002236035985,0,268
1,4.403772224856658e-05,0.0,1,268
0,0.0,0.024402904911164074,0,269
1,4.3961567209622554e-05,0.0,1,269
0,0.0,0.024402604367267662,0,270
1,4.396180351597876e-05,0.0,1,270
0,0.0,0.024402604367267662,0,271
1,4.396180351597876e-05,0.0,1,271
0,0.0,0.024402604367267662,0,272
1,4.396180351597876e-05,0.0,1,272
0,0.0,-10.31747809687259,0,273
1,4.993516349501732,0.0,1,273
0,0.0,-1.4610139521730843,0,274
1,0.1540083022379625,0.0,1,274
0,0.0,-0.2306939856052803,0,275
1,0.003926981615954913,0.0,1,275
0,0.0,-0.023990756271838845,0,276
1,4.2491336742371275e-05,0.0,1,276
0,0.0,0.016796735337527107,0,277
1,2.0828401598332285e-05,0.0,1,277
0,0.0,0.0189416171253601,0,278
1,2.6487398264456992e-05,0.0,1,278
0,0.0,0.019377193717462392,0,279
1,2.77195696678101e-05,0.0,1,279
0,0.0,0.019875700807962093,0,280
1,2.9164094329308545e-05,0.0,1,280
0,0.0,0.017495555970186483,0,281
1,2.259725641255569e-05,0.0,1,281
0,0.0,0.01852329445349309,0,282
1,2.5330108320585208e-05,0.0,1,282
0,0.0,0.018611282439322294,0,283
1,2.5571308658627987e-05,0.0,1,283
0,0.0,0.01860894899369709,0,284
1,2.5564882243429694e-05,0.0,1,284
0,0.0,0.01860894899369709,0,285
1,2.5564882243429694e-05,0.0,1,285
0,0.0,0.024402604367267662,0,286
1,4.396180351597876e-05,0.0,1,286
0,0.0,-12.154478260290142,0,287
1,6.410577211604398,0.0,1,287
0,0.0,-1.6479455856446532,0,288
1,0.19476389546209,0.0,1,288
0,0.0,-0.261974503331532,0,289
1,0.005063233102319469,0.0,1,289
0,0.0,-0.030896906493543277,0,290
1,7.047595988454306e-05,0.0,1,290
0,0.0,0.002559867833919644,0,291
1,4.837767899888667e-07,0.0,1,291
0,0.0,0.0058543627333412845,0,292
1,2.530279262601324e-06,0.0,1,292
0,0.0,0.01788469090788932,0,293
1,2.3613882480238504e-05,0.0,1,293
0,0.0,0.011107199816956162,0,294
1,9.107863361849824e-06,0.0,1,294
0,0.0,0.01188782077401965,0,295
1,1.0433046359543886e-05,0.0,1,295
0,0.0,0.011698171562112876,0,296
1,1.0102816558509844e-05,0.0,1,296
0,0.0,0.011455729314305364,0,297
1,9.688377645104576e-06,0.0,1,297
0,0.0,0.010978039836454349,0,298
1,8.897156437141025e-06,0.0,1,298
0,0.0,0.010227904085253979,0,299
1,7.722598939690822e-06,0.0,1,299
0,0.0,0.010187060683020149,0,300
1,7.6609094305186e-06,0.0,1,300
